First Name,Last Name,Specific Disease SVS (dRWPS),Total Relevant Publications,Most Recent Publication Date,Matching MeSH Topics,Broad Area SVS (tRWPS)
Xuan,Xuan Wang,13.33,1,2026-02,Colorectal Neoplasms,25.0
Jurgen,Kuball,13.33,1,2026-02,Pancreatic Neoplasms,25.0
Dorine,A de Bont,13.33,1,2026-02,Pancreatic Neoplasms,25.0
Limin,Xia,13.33,1,2026-02,Colorectal Neoplasms,25.0
Xuyu,Chen,13.33,1,2026-01,Stomach Neoplasms,25.0
Christopher,A Mecoli,13.33,1,2026-02,Neoplasms,25.0
Xingyao,Wang,13.33,1,2026-02,Neoplasms,25.0
Jiahang,Sun,13.33,1,2026-01,Brain Neoplasms,25.0
Francesca,Ghidoni,13.33,1,2026-02,Pituitary Neoplasms,25.0
Nobutaka,Horie,13.33,1,2026-02,Pituitary Neoplasms,25.0
Yasuyuki,Kinoshita,6.67,1,2026-02,Pituitary Neoplasms,12.5
Atsushi,Tominaga,6.67,1,2026-02,Pituitary Neoplasms,12.5
Fumiyuki,Yamasaki,6.67,1,2026-02,Pituitary Neoplasms,12.5
Vishwa,Jeet Amatya,6.67,1,2026-02,Pituitary Neoplasms,12.5
Yukio,Takeshima,6.67,1,2026-02,Pituitary Neoplasms,12.5
Alba,Madoglio,6.67,1,2026-02,Pituitary Neoplasms,12.5
Sabrina,Chiloiro,6.67,1,2026-02,Pituitary Neoplasms,12.5
Lodovico,Terzi di Bergamo,6.67,1,2026-02,Pituitary Neoplasms,12.5
Marika,Vezzoli,6.67,1,2026-02,Pituitary Neoplasms,12.5
Simona,Serioli,6.67,1,2026-02,Pituitary Neoplasms,12.5
Giada,Cosentino,6.67,1,2026-02,Pituitary Neoplasms,12.5
Giorgio,Saraceno,6.67,1,2026-02,Pituitary Neoplasms,12.5
Isabella,Lupi,6.67,1,2026-02,Pituitary Neoplasms,12.5
Claudio,Urbani,6.67,1,2026-02,Pituitary Neoplasms,12.5
Massimo,Licini,6.67,1,2026-02,Pituitary Neoplasms,12.5
Xiaolu,Duan,6.67,1,2026-01,Prostatic Neoplasms,12.5
Zhipeng,Wen,6.67,1,2026-01,Prostatic Neoplasms,12.5
Xuezhi,Long,6.67,1,2026-01,Prostatic Neoplasms,12.5
Siqi,Yang,6.67,1,2026-01,Prostatic Neoplasms,12.5
Yue,Shu,6.67,1,2026-01,Prostatic Neoplasms,12.5
Yanni,Xie,6.67,1,2026-01,Prostatic Neoplasms,12.5
Yang,Yang,6.67,1,2026-01,Prostatic Neoplasms,12.5
Pietro,Luigi Poliani,6.67,1,2026-02,Pituitary Neoplasms,12.5
Marco,Maria Fontanella,6.67,1,2026-02,Pituitary Neoplasms,12.5
Cesare,Piazza,6.67,1,2026-02,Pituitary Neoplasms,12.5
Piero,Nicolai,6.67,1,2026-02,Pituitary Neoplasms,12.5
Antonio,Bianchi,6.67,1,2026-02,Pituitary Neoplasms,12.5
Luca,Manetti,6.67,1,2026-02,Pituitary Neoplasms,12.5
Roberto,Gasparotti,6.67,1,2026-02,Pituitary Neoplasms,12.5
Mirco,Cosottini,6.67,1,2026-02,Pituitary Neoplasms,12.5
Fausto,Bogazzi,6.67,1,2026-02,Pituitary Neoplasms,12.5
Xiaolong,Liang,6.67,1,2026-02,Neoplasms,12.5
Xinchun,Zhang,6.67,1,2026-02,Neoplasms,12.5
Sheng,Dai,6.67,1,2026-02,Colorectal Neoplasms,12.5
Xuefeng,Huang,6.67,1,2026-02,Colorectal Neoplasms,12.5
Fei,Wang,6.67,1,2026-02,Colorectal Neoplasms,12.5
Jiaqi,Xu,6.67,1,2026-02,Colorectal Neoplasms,12.5
Liming,Shi,6.67,1,2026-02,Colorectal Neoplasms,12.5
Liwen,Qian,6.67,1,2026-02,Colorectal Neoplasms,12.5
Yanjun,Gu,6.67,1,2026-02,Colorectal Neoplasms,12.5
Yue,Jin,6.67,1,2026-02,Colorectal Neoplasms,12.5
Mengjia,Wang,6.67,1,2026-02,Colorectal Neoplasms,12.5
Xuyun,Xie,6.67,1,2026-02,Colorectal Neoplasms,12.5
Yikan,Sun,6.67,1,2026-02,Colorectal Neoplasms,12.5
Chu,Zhu,6.67,1,2026-02,Colorectal Neoplasms,12.5
Zsolt,Sebestyén,6.67,1,2026-02,Pancreatic Neoplasms,12.5
